Date,Action,Price,AmountUSD,FeeUSD,Cash,BTC_units,Notional
2025-02-05,BUY,96615.445312,100.0,0.1,900.0,0.0010339961656999376,99.9
2025-02-06,BUY,96593.296875,99.98770986010658,0.09998770986010658,800.0122901398934,0.0020681023136608022,199.76482075131224
2025-02-07,BUY,96529.085938,99.96443161038337,0.09996443161038338,700.04785852951,0.003102655435223719,299.4964931427132
2025-02-08,BUY,96482.453125,99.9399666121509,0.0999399666121509,600.1078919173591,0.004137455270963683,399.1918342375377
2025-02-09,BUY,96500.09375,99.93727134517862,0.09993727134517862,500.1706205721805,0.005172038038649683,499.1021556082605
2025-02-10,BUY,97437.554688,100.41213598115253,0.10041213598115253,399.758484591028,0.006201535588812704,604.2624630845161
2025-02-11,BUY,95747.429688,99.35395773385022,0.09935395773385022,300.40452685717776,0.0072381650220992655,693.0356965235904
2025-02-17,BUY,95773.382812,99.36280763751192,0.09936280763751193,201.04171921966582,0.00827460585686361,792.4869943478158
2025-02-18,BUY,95539.546875,99.15938133536363,0.09915938133536363,101.88233788430219,0.009311456304601598,889.6123160879987
2025-02-25,BUY,88736.171875,92.81453249359821,0.09281453249359821,9.067805390703981,0.010356370864266388,918.9847050127845
2025-02-26,BUY,84347.023438,88.25968614116013,0.08825968614116013,-79.19188075045615,0.011401712156242508,961.7004824759164
2025-02-27,BUY,84704.226562,88.65813289266188,0.08865813289266189,-167.85001364311802,0.012447344450576015,1054.3426844368441
2025-02-28,BUY,84373.007812,88.23698769239869,0.08823698769239868,-256.0870013355167,0.013492095052582753,1138.3686412718112
2025-03-07,BUY,86742.671875,91.425337271698,0.091425337271698,-347.5123386072147,0.014545024481204026,1261.674285986923
2025-03-09,BUY,80601.039062,82.48317477600574,0.08248317477600574,-429.99551338322044,0.015567352388637644,1254.7447779685017
2025-03-10,BUY,78532.0,79.25398044012712,0.07925398044012713,-509.24949382334756,0.01657553665059057,1301.7100442441786
2025-03-11,BUY,82862.210938,86.42361205284384,0.08642361205284384,-595.6731058761914,0.017617473469116823,1459.822802792577
2025-03-12,BUY,83722.359375,87.93033391847354,0.08793033391847353,-683.6034397946648,0.01866668426824279,1562.8188486454817
2025-03-13,BUY,81066.703125,82.96431121070812,0.08296431121070812,-766.567751005373,0.01968906884420981,1596.1278988012436
2025-03-19,BUY,86854.226562,94.35110951844412,0.09435110951844412,-860.9188605238171,0.020774298223826027,1804.3356045987398
2025-03-20,BUY,84167.195312,26.676695026865673,0.026676695026865673,-887.5955555506828,0.021090930116252165,1775.1644344063388
2025-03-23,BUY,86054.375,39.77569822139185,0.03977569822139185,-927.3712537720746,0.021552683775182005,1854.702731845928
2025-03-24,BUY,87498.914062,31.0939179059626,0.0310939179059626,-958.4651716780372,0.021907691883808887,1916.8992494381687
2025-04-24,BUY,93943.796875,109.96265846545913,0.10996265846545913,-1068.4278301434963,0.023077036741704738,2167.9444521396217
2025-04-25,BUY,94720.5,49.01279840565121,0.04901279840565121,-1117.4406285491475,0.02359396587116716,2234.832244299889
2025-05-05,BUY,94748.054688,0.6011115698565845,0.0006011115698565845,-1118.041740119004,0.023600303842540443,2236.0828791264385
2025-05-06,BUY,96802.476562,48.48437933559171,0.048484379335591715,-1166.5261194545958,0.024100661856885603,2333.003754529856
2025-05-07,BUY,97032.320312,5.490902119332986,0.005490902119332987,-1172.0170215739288,0.02415719365164817,2344.028552245738
2025-05-09,BUY,102970.851562,131.54697800844235,0.13154697800844237,-1303.5639995823713,0.02543343279153046,2618.902232688786
2025-05-10,BUY,104696.328125,55.65902572246523,0.055659025722465234,-1359.2230253048365,0.025964524642529824,2718.3903915839505
2025-05-18,BUY,106446.007812,45.373942323923075,0.045373942323923076,-1404.5969676287596,0.026390360888654305,2809.1485613151954
2025-05-20,BUY,106791.085938,9.061362337597075,0.009061362337597075,-1413.6583299663566,0.026475127336113364,2827.3075985703754
2025-05-21,BUY,109678.078125,76.42442440685136,0.07642442440685136,-1490.082754373208,0.027171237272462092,2980.089084322009
2025-05-22,BUY,111673.28125,54.1357130917263,0.0541357130917263,-1544.2184674649343,0.027655521219107877,3088.3827992167767
2025-07-10,SELL,115987.203125,3204.4788706112445,3.207686557168413,1660.2604031463102,0.0,0.0
2025-07-31,BUY,115758.203125,166.02604031463102,0.16602604031463103,1494.2343628316792,0.0014328143474654199,165.8600142743164
2025-08-05,BUY,114141.445312,165.77778633151524,0.16577778633151524,1328.456576500164,0.0028837510172481746,329.15550902865687
2025-08-06,BUY,115028.0,166.0168688512187,0.16601686885121872,1162.4397076489452,0.004325581284508037,497.5629639943905
2025-08-07,BUY,117496.898438,167.06820925200998,0.16706820925201,995.3714983969352,0.005746054022610373,675.1435259139124
2025-08-08,BUY,116688.726562,166.58712250517974,0.16658712250517974,828.7843758917554,0.007172246083196883,836.9202620375365
2025-08-09,BUY,116500.359375,166.43536221101286,0.16643536221101285,662.3490136807426,0.008599442769462914,1001.8381730671748
2025-08-22,BUY,116874.085938,166.7401026937864,0.16674010269378642,495.6089109869562,0.010024680547831143,1171.625375848214
2025-08-23,BUY,115374.328125,165.21996938607313,0.16521996938607314,330.3889416008831,0.011455282589889076,1321.6455322904621
2025-08-24,BUY,113458.429688,163.00873158819834,0.16300873158819834,167.38021001268473,0.01289057235464627,1462.5440971377104
2025-08-25,BUY,110124.351562,158.69461318311488,0.1586946131831149,8.685596829569846,0.014330180545943325,1578.1018403883957
2025-08-26,BUY,111802.65625,161.0837846408109,0.1610837846408109,-152.39818781124106,0.01576952649937339,1763.0749504347089
2025-08-27,BUY,111222.0625,160.15210740974723,0.16015210740974722,-312.5502952209883,0.017208017673751113,1913.9112172110508
2025-08-28,BUY,112544.804688,162.4122692938983,0.16241226929389832,-474.9625645148866,0.018649664469215357,2098.9228451845756
2025-08-29,BUY,108410.835938,154.68631505559676,0.15468631505559677,-629.6488795704834,0.020075090510842022,2176.357343811395
2025-08-30,BUY,108808.070312,155.46829802529794,0.15546829802529794,-785.1171775957813,0.021502492258542567,2339.644689550735
