cut_date,train_start,train_end,val_start,val_end,n_epochs,val_metric,best_threshold,best_threshold_f1,weights_path,scaler_path,config_path,notes
2024-12-31,2022-12-31,2024-12-09,2024-12-10,2024-12-30,10,0.4027777777777778,0.3,0.6428571428571429,models\rolling\2024-12-31\lstm_weights.pth,models\rolling\2024-12-31\lstm_scaler.pkl,models\rolling\2024-12-31\lstm_config.json,
2025-01-31,2023-01-31,2025-01-10,2025-01-11,2025-01-31,10,0.6714285714285714,0.38,0.6086956521739131,models\rolling\2025-01-31\lstm_weights.pth,models\rolling\2025-01-31\lstm_scaler.pkl,models\rolling\2025-01-31\lstm_config.json,
2025-02-28,2023-02-28,2025-02-07,2025-02-08,2025-02-28,10,0.6428571428571428,0.42,0.6086956521739131,models\rolling\2025-02-28\lstm_weights.pth,models\rolling\2025-02-28\lstm_scaler.pkl,models\rolling\2025-02-28\lstm_config.json,
2025-03-31,2023-03-31,2025-03-10,2025-03-11,2025-03-31,10,0.6428571428571429,0.34,0.5555555555555556,models\rolling\2025-03-31\lstm_weights.pth,models\rolling\2025-03-31\lstm_scaler.pkl,models\rolling\2025-03-31\lstm_config.json,
2025-04-30,2023-04-30,2025-04-09,2025-04-10,2025-04-30,10,0.4848484848484848,0.3,0.6363636363636364,models\rolling\2025-04-30\lstm_weights.pth,models\rolling\2025-04-30\lstm_scaler.pkl,models\rolling\2025-04-30\lstm_config.json,
2025-05-31,2023-05-31,2025-05-10,2025-05-11,2025-05-31,10,0.5972222222222222,0.5,0.72,models\rolling\2025-05-31\lstm_weights.pth,models\rolling\2025-05-31\lstm_scaler.pkl,models\rolling\2025-05-31\lstm_config.json,
2025-06-30,2023-06-30,2025-06-09,2025-06-10,2025-06-30,10,0.4027777777777778,0.3,0.6923076923076923,models\rolling\2025-06-30\lstm_weights.pth,models\rolling\2025-06-30\lstm_scaler.pkl,models\rolling\2025-06-30\lstm_config.json,
2025-07-31,2023-07-31,2025-07-10,2025-07-11,2025-07-31,10,0.3636363636363636,0.32,0.5454545454545454,models\rolling\2025-07-31\lstm_weights.pth,models\rolling\2025-07-31\lstm_scaler.pkl,models\rolling\2025-07-31\lstm_config.json,
2025-08-31,2023-08-31,2025-08-09,2025-08-10,2025-08-30,10,0.7424242424242424,0.46,0.6666666666666666,models\rolling\2025-08-31\lstm_weights.pth,models\rolling\2025-08-31\lstm_scaler.pkl,models\rolling\2025-08-31\lstm_config.json,
2024-12-31,2022-12-31,2024-12-09,2024-12-10,2024-12-30,10,0.3722222222222222,0.3,0.6428571428571429,models\rolling\2024-12-31\lstm_weights.pth,models\rolling\2024-12-31\lstm_scaler.pkl,models\rolling\2024-12-31\lstm_config.json,
2025-01-31,2023-01-31,2025-01-10,2025-01-11,2025-01-31,10,0.7285714285714285,0.36,0.6086956521739131,models\rolling\2025-01-31\lstm_weights.pth,models\rolling\2025-01-31\lstm_scaler.pkl,models\rolling\2025-01-31\lstm_config.json,
2025-02-28,2023-02-28,2025-02-07,2025-02-08,2025-02-28,10,0.6571428571428571,0.3,0.5833333333333334,models\rolling\2025-02-28\lstm_weights.pth,models\rolling\2025-02-28\lstm_scaler.pkl,models\rolling\2025-02-28\lstm_config.json,
2025-03-31,2023-03-31,2025-03-10,2025-03-11,2025-03-31,10,0.6714285714285714,0.36,0.6666666666666666,models\rolling\2025-03-31\lstm_weights.pth,models\rolling\2025-03-31\lstm_scaler.pkl,models\rolling\2025-03-31\lstm_config.json,
2025-04-30,2023-04-30,2025-04-09,2025-04-10,2025-04-30,10,0.5,0.3,0.75,models\rolling\2025-04-30\lstm_weights.pth,models\rolling\2025-04-30\lstm_scaler.pkl,models\rolling\2025-04-30\lstm_config.json,
2025-05-31,2023-05-31,2025-05-10,2025-05-11,2025-05-31,10,0.5277777777777778,0.5,0.75,models\rolling\2025-05-31\lstm_weights.pth,models\rolling\2025-05-31\lstm_scaler.pkl,models\rolling\2025-05-31\lstm_config.json,
2025-06-30,2023-06-30,2025-06-09,2025-06-10,2025-06-30,10,0.4444444444444445,0.3,0.6923076923076923,models\rolling\2025-06-30\lstm_weights.pth,models\rolling\2025-06-30\lstm_scaler.pkl,models\rolling\2025-06-30\lstm_config.json,
2025-07-31,2023-07-31,2025-07-10,2025-07-11,2025-07-31,10,0.303030303030303,0.3,0.5217391304347826,models\rolling\2025-07-31\lstm_weights.pth,models\rolling\2025-07-31\lstm_scaler.pkl,models\rolling\2025-07-31\lstm_config.json,
2025-08-31,2023-08-31,2025-08-09,2025-08-10,2025-08-30,10,0.6818181818181818,0.42,0.5454545454545454,models\rolling\2025-08-31\lstm_weights.pth,models\rolling\2025-08-31\lstm_scaler.pkl,models\rolling\2025-08-31\lstm_config.json,
2024-12-31,2022-12-31,2024-12-09,2024-12-10,2024-12-30,10,0.3972222222222222,0.45,,models\rolling\2024-12-31\lstm_weights.pth,models\rolling\2024-12-31\lstm_scaler.pkl,models\rolling\2024-12-31\lstm_config.json,threshold_mode=fixed
2025-01-31,2023-01-31,2025-01-10,2025-01-11,2025-01-31,10,0.7,0.45,,models\rolling\2025-01-31\lstm_weights.pth,models\rolling\2025-01-31\lstm_scaler.pkl,models\rolling\2025-01-31\lstm_config.json,threshold_mode=fixed
2025-02-28,2023-02-28,2025-02-07,2025-02-08,2025-02-28,10,0.6571428571428571,0.45,,models\rolling\2025-02-28\lstm_weights.pth,models\rolling\2025-02-28\lstm_scaler.pkl,models\rolling\2025-02-28\lstm_config.json,threshold_mode=fixed
2025-03-31,2023-03-31,2025-03-10,2025-03-11,2025-03-31,10,0.6285714285714286,0.45,,models\rolling\2025-03-31\lstm_weights.pth,models\rolling\2025-03-31\lstm_scaler.pkl,models\rolling\2025-03-31\lstm_config.json,threshold_mode=fixed
2025-04-30,2023-04-30,2025-04-09,2025-04-10,2025-04-30,10,0.3636363636363636,0.45,,models\rolling\2025-04-30\lstm_weights.pth,models\rolling\2025-04-30\lstm_scaler.pkl,models\rolling\2025-04-30\lstm_config.json,threshold_mode=fixed
2025-05-31,2023-05-31,2025-05-10,2025-05-11,2025-05-31,10,0.5694444444444444,0.45,,models\rolling\2025-05-31\lstm_weights.pth,models\rolling\2025-05-31\lstm_scaler.pkl,models\rolling\2025-05-31\lstm_config.json,threshold_mode=fixed
2025-06-30,2023-06-30,2025-06-09,2025-06-10,2025-06-30,10,0.5,0.45,,models\rolling\2025-06-30\lstm_weights.pth,models\rolling\2025-06-30\lstm_scaler.pkl,models\rolling\2025-06-30\lstm_config.json,threshold_mode=fixed
2025-07-31,2023-07-31,2025-07-10,2025-07-11,2025-07-31,10,0.4393939393939393,0.45,,models\rolling\2025-07-31\lstm_weights.pth,models\rolling\2025-07-31\lstm_scaler.pkl,models\rolling\2025-07-31\lstm_config.json,threshold_mode=fixed
2025-08-31,2023-08-31,2025-08-09,2025-08-10,2025-08-30,10,0.6212121212121212,0.45,,models\rolling\2025-08-31\lstm_weights.pth,models\rolling\2025-08-31\lstm_scaler.pkl,models\rolling\2025-08-31\lstm_config.json,threshold_mode=fixed
2024-12-31,2022-12-31,2024-12-09,2024-12-10,2024-12-30,10,0.3972222222222222,0.4479,,models\rolling\2024-12-31\lstm_weights.pth,models\rolling\2024-12-31\lstm_scaler.pkl,models\rolling\2024-12-31\lstm_config.json,threshold_mode=fixed
2025-01-31,2023-01-31,2025-01-10,2025-01-11,2025-01-31,10,0.7714285714285714,0.4479,,models\rolling\2025-01-31\lstm_weights.pth,models\rolling\2025-01-31\lstm_scaler.pkl,models\rolling\2025-01-31\lstm_config.json,threshold_mode=fixed
2025-02-28,2023-02-28,2025-02-07,2025-02-08,2025-02-28,10,0.6428571428571428,0.4479,,models\rolling\2025-02-28\lstm_weights.pth,models\rolling\2025-02-28\lstm_scaler.pkl,models\rolling\2025-02-28\lstm_config.json,threshold_mode=fixed
2025-03-31,2023-03-31,2025-03-10,2025-03-11,2025-03-31,10,0.6,0.4479,,models\rolling\2025-03-31\lstm_weights.pth,models\rolling\2025-03-31\lstm_scaler.pkl,models\rolling\2025-03-31\lstm_config.json,threshold_mode=fixed
2025-04-30,2023-04-30,2025-04-09,2025-04-10,2025-04-30,10,0.3636363636363636,0.4479,,models\rolling\2025-04-30\lstm_weights.pth,models\rolling\2025-04-30\lstm_scaler.pkl,models\rolling\2025-04-30\lstm_config.json,threshold_mode=fixed
2025-05-31,2023-05-31,2025-05-10,2025-05-11,2025-05-31,10,0.5555555555555556,0.4479,,models\rolling\2025-05-31\lstm_weights.pth,models\rolling\2025-05-31\lstm_scaler.pkl,models\rolling\2025-05-31\lstm_config.json,threshold_mode=fixed
2025-06-30,2023-06-30,2025-06-09,2025-06-10,2025-06-30,10,0.5,0.4479,,models\rolling\2025-06-30\lstm_weights.pth,models\rolling\2025-06-30\lstm_scaler.pkl,models\rolling\2025-06-30\lstm_config.json,threshold_mode=fixed
2025-07-31,2023-07-31,2025-07-10,2025-07-11,2025-07-31,10,0.3939393939393939,0.4479,,models\rolling\2025-07-31\lstm_weights.pth,models\rolling\2025-07-31\lstm_scaler.pkl,models\rolling\2025-07-31\lstm_config.json,threshold_mode=fixed
2025-08-31,2023-08-31,2025-08-09,2025-08-10,2025-08-30,10,0.6060606060606061,0.4479,,models\rolling\2025-08-31\lstm_weights.pth,models\rolling\2025-08-31\lstm_scaler.pkl,models\rolling\2025-08-31\lstm_config.json,threshold_mode=fixed
2024-12-31,2022-12-31,2024-12-09,2024-12-10,2024-12-30,10,0.4055555555555556,0.4479,,models\rolling\2024-12-31\lstm_weights.pth,models\rolling\2024-12-31\lstm_scaler.pkl,models\rolling\2024-12-31\lstm_config.json,threshold_mode=fixed
2025-01-31,2023-01-31,2025-01-10,2025-01-11,2025-01-31,10,0.7142857142857142,0.4479,,models\rolling\2025-01-31\lstm_weights.pth,models\rolling\2025-01-31\lstm_scaler.pkl,models\rolling\2025-01-31\lstm_config.json,threshold_mode=fixed
2025-02-28,2023-02-28,2025-02-07,2025-02-08,2025-02-28,10,0.6142857142857142,0.4479,,models\rolling\2025-02-28\lstm_weights.pth,models\rolling\2025-02-28\lstm_scaler.pkl,models\rolling\2025-02-28\lstm_config.json,threshold_mode=fixed
2025-03-31,2023-03-31,2025-03-10,2025-03-11,2025-03-31,10,0.6571428571428571,0.4479,,models\rolling\2025-03-31\lstm_weights.pth,models\rolling\2025-03-31\lstm_scaler.pkl,models\rolling\2025-03-31\lstm_config.json,threshold_mode=fixed
2025-04-30,2023-04-30,2025-04-09,2025-04-10,2025-04-30,10,0.4696969696969697,0.4479,,models\rolling\2025-04-30\lstm_weights.pth,models\rolling\2025-04-30\lstm_scaler.pkl,models\rolling\2025-04-30\lstm_config.json,threshold_mode=fixed
2025-05-31,2023-05-31,2025-05-10,2025-05-11,2025-05-31,10,0.6388888888888888,0.4479,,models\rolling\2025-05-31\lstm_weights.pth,models\rolling\2025-05-31\lstm_scaler.pkl,models\rolling\2025-05-31\lstm_config.json,threshold_mode=fixed
2025-06-30,2023-06-30,2025-06-09,2025-06-10,2025-06-30,10,0.486111111111111,0.4479,,models\rolling\2025-06-30\lstm_weights.pth,models\rolling\2025-06-30\lstm_scaler.pkl,models\rolling\2025-06-30\lstm_config.json,threshold_mode=fixed
2025-07-31,2023-07-31,2025-07-10,2025-07-11,2025-07-31,10,0.3636363636363636,0.4479,,models\rolling\2025-07-31\lstm_weights.pth,models\rolling\2025-07-31\lstm_scaler.pkl,models\rolling\2025-07-31\lstm_config.json,threshold_mode=fixed
2025-08-31,2023-08-31,2025-08-09,2025-08-10,2025-08-30,10,0.5909090909090909,0.4479,,models\rolling\2025-08-31\lstm_weights.pth,models\rolling\2025-08-31\lstm_scaler.pkl,models\rolling\2025-08-31\lstm_config.json,threshold_mode=fixed
2024-12-31,2022-12-31,2024-12-09,2024-12-10,2024-12-30,10,0.4194444444444444,0.45,,models\rolling\2024-12-31\lstm_weights.pth,models\rolling\2024-12-31\lstm_scaler.pkl,models\rolling\2024-12-31\lstm_config.json,threshold_mode=fixed
2025-01-31,2023-01-31,2025-01-10,2025-01-11,2025-01-31,10,0.6857142857142857,0.45,,models\rolling\2025-01-31\lstm_weights.pth,models\rolling\2025-01-31\lstm_scaler.pkl,models\rolling\2025-01-31\lstm_config.json,threshold_mode=fixed
2025-02-28,2023-02-28,2025-02-07,2025-02-08,2025-02-28,10,0.6714285714285715,0.45,,models\rolling\2025-02-28\lstm_weights.pth,models\rolling\2025-02-28\lstm_scaler.pkl,models\rolling\2025-02-28\lstm_config.json,threshold_mode=fixed
2025-03-31,2023-03-31,2025-03-10,2025-03-11,2025-03-31,10,0.6285714285714286,0.45,,models\rolling\2025-03-31\lstm_weights.pth,models\rolling\2025-03-31\lstm_scaler.pkl,models\rolling\2025-03-31\lstm_config.json,threshold_mode=fixed
2025-04-30,2023-04-30,2025-04-09,2025-04-10,2025-04-30,10,0.4090909090909091,0.45,,models\rolling\2025-04-30\lstm_weights.pth,models\rolling\2025-04-30\lstm_scaler.pkl,models\rolling\2025-04-30\lstm_config.json,threshold_mode=fixed
2025-05-31,2023-05-31,2025-05-10,2025-05-11,2025-05-31,10,0.6111111111111112,0.45,,models\rolling\2025-05-31\lstm_weights.pth,models\rolling\2025-05-31\lstm_scaler.pkl,models\rolling\2025-05-31\lstm_config.json,threshold_mode=fixed
2025-06-30,2023-06-30,2025-06-09,2025-06-10,2025-06-30,10,0.4861111111111111,0.45,,models\rolling\2025-06-30\lstm_weights.pth,models\rolling\2025-06-30\lstm_scaler.pkl,models\rolling\2025-06-30\lstm_config.json,threshold_mode=fixed
2025-07-31,2023-07-31,2025-07-10,2025-07-11,2025-07-31,10,0.3636363636363636,0.45,,models\rolling\2025-07-31\lstm_weights.pth,models\rolling\2025-07-31\lstm_scaler.pkl,models\rolling\2025-07-31\lstm_config.json,threshold_mode=fixed
2025-08-31,2023-08-31,2025-08-09,2025-08-10,2025-08-30,10,0.6212121212121212,0.45,,models\rolling\2025-08-31\lstm_weights.pth,models\rolling\2025-08-31\lstm_scaler.pkl,models\rolling\2025-08-31\lstm_config.json,threshold_mode=fixed
2024-12-31,2022-12-31,2024-12-09,2024-12-10,2024-12-30,10,0.3833333333333333,0.45,,models\rolling\2024-12-31\lstm_weights.pth,models\rolling\2024-12-31\lstm_scaler.pkl,models\rolling\2024-12-31\lstm_config.json,threshold_mode=fixed
2025-01-31,2023-01-31,2025-01-10,2025-01-11,2025-01-31,10,0.6571428571428571,0.45,,models\rolling\2025-01-31\lstm_weights.pth,models\rolling\2025-01-31\lstm_scaler.pkl,models\rolling\2025-01-31\lstm_config.json,threshold_mode=fixed
2025-02-28,2023-02-28,2025-02-07,2025-02-08,2025-02-28,10,0.5857142857142857,0.45,,models\rolling\2025-02-28\lstm_weights.pth,models\rolling\2025-02-28\lstm_scaler.pkl,models\rolling\2025-02-28\lstm_config.json,threshold_mode=fixed
2025-03-31,2023-03-31,2025-03-10,2025-03-11,2025-03-31,10,0.6571428571428571,0.45,,models\rolling\2025-03-31\lstm_weights.pth,models\rolling\2025-03-31\lstm_scaler.pkl,models\rolling\2025-03-31\lstm_config.json,threshold_mode=fixed
2025-04-30,2023-04-30,2025-04-09,2025-04-10,2025-04-30,10,0.393939393939394,0.45,,models\rolling\2025-04-30\lstm_weights.pth,models\rolling\2025-04-30\lstm_scaler.pkl,models\rolling\2025-04-30\lstm_config.json,threshold_mode=fixed
2025-05-31,2023-05-31,2025-05-10,2025-05-11,2025-05-31,10,0.5694444444444444,0.45,,models\rolling\2025-05-31\lstm_weights.pth,models\rolling\2025-05-31\lstm_scaler.pkl,models\rolling\2025-05-31\lstm_config.json,threshold_mode=fixed
2025-06-30,2023-06-30,2025-06-09,2025-06-10,2025-06-30,10,0.4583333333333333,0.45,,models\rolling\2025-06-30\lstm_weights.pth,models\rolling\2025-06-30\lstm_scaler.pkl,models\rolling\2025-06-30\lstm_config.json,threshold_mode=fixed
2025-07-31,2023-07-31,2025-07-10,2025-07-11,2025-07-31,10,0.3333333333333333,0.45,,models\rolling\2025-07-31\lstm_weights.pth,models\rolling\2025-07-31\lstm_scaler.pkl,models\rolling\2025-07-31\lstm_config.json,threshold_mode=fixed
2025-08-31,2023-08-31,2025-08-09,2025-08-10,2025-08-30,10,0.6666666666666667,0.45,,models\rolling\2025-08-31\lstm_weights.pth,models\rolling\2025-08-31\lstm_scaler.pkl,models\rolling\2025-08-31\lstm_config.json,threshold_mode=fixed
